danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms
0.431,0.375,11,-15.142,0,0.0347,0.391,0.721,0.143,0.258,128.153,169535
0.358,0.48,9,-11.79,1,0.0849,0.521,0.00428,0.178,0.356,120.317,413947
0.469,0.537,9,-10.421,1,0.152,0.0241,0.00201,0.269,0.783,124.193,382834
0.525,0.929,9,-8.56,0,0.0784,0.262,2.90E-05,0.0754,0.556,163.503,262748
0.407,0.834,6,-9.224,1,0.208,0.0734,0.00021,0.241,0.71,121.38,205293
0.58,0.571,9,-9.116,1,0.0321,0.378,5.13E-06,0.358,0.818,128.15,248013
0.525,0.476,9,-13.202,0,0.0531,0.0321,0,0.566,0.37,88.943,311080
0.666,0.733,9,-5.884,1,0.0563,0.138,0.000349,0.0892,0.597,101.858,304733
0.592,0.705,1,-10.276,0,0.0287,0.0291,1.97E-05,0.0456,0.902,135.754,215400
0.373,0.57,5,-11.56,1,0.0441,0.497,0.0124,0.128,0.631,81.28,215693
0.442,0.736,9,-9.546,1,0.0744,0.257,7.31E-05,0.157,0.597,134.21,227467
0.469,0.935,4,-9.151,0,0.0734,0.0561,6.96E-05,0.831,0.6,115.75,108173
0.328,0.723,2,-7.842,1,0.0434,0.13,0.0857,0.369,0.749,144.832,199533
0.217,0.784,2,-7.202,1,0.153,0.00252,0.0775,0.195,0.27,79.181,383907
0.35,0.845,4,-12.339,0,0.2,0.0424,0.000622,0.111,0.421,135.252,342880
0.3,0.547,2,-10.124,0,0.0333,0.409,0.00613,0.134,0.247,95.663,248280
0.513,0.396,7,-13.061,1,0.0299,0.251,0.177,0.11,0.229,140.208,149880
0.406,0.57,7,-12.374,1,0.0633,0.692,0.00219,0.396,0.642,142.792,263027
0.367,0.747,9,-7.065,1,0.172,0.137,1.49E-06,0.181,0.583,115.08,224173
0.3,0.409,10,-7.323,1,0.0336,0.645,0.000155,0.402,0.304,78.074,228173
0.716,0.85,8,-9.949,1,0.0426,0.0631,0.00133,0.19,0.821,125.476,222447
0.55,0.611,3,-10.657,1,0.0443,0.0392,0,0.0631,0.626,168.512,290960
0.429,0.554,9,-6.128,0,0.0291,0.67,0.000152,0.105,0.407,136.302,272000
0.309,0.831,1,-8.288,1,0.036,0.488,0.00304,0.286,0.934,181.145,288160
0.623,0.824,6,-8.971,0,0.0479,0.0195,0.13,0.0491,0.574,111.356,279933
0.808,0.85,5,-8.772,1,0.0868,0.115,0.000109,0.316,0.717,106.855,186533
0.472,0.641,5,-10.719,1,0.0282,0.00108,4.85E-05,0.215,0.877,76.978,256960
0.665,0.673,0,-7.95,1,0.0493,0.259,7.62E-06,0.497,0.779,132.642,322549
0.541,0.432,5,-8.076,1,0.0299,0.504,0.000261,0.225,0.415,121.007,193333
0.295,0.536,2,-9.985,1,0.0404,0.0838,0.000336,0.0761,0.204,82.658,483053
0.491,0.932,5,-7.028,0,0.118,0.0585,0.00493,0.347,0.569,148.831,200707
0.409,0.833,4,-9.994,0,0.0397,0.292,0.158,0.161,0.428,132.233,253267
0.557,0.798,9,-5.843,0,0.0277,0.0158,2.67E-05,0.547,0.609,134.801,252267
0.384,0.817,1,-9.079,1,0.0662,0.267,0.00191,0.0756,0.686,128.429,285760
0.507,0.56,4,-12.446,1,0.0365,0.149,2.35E-06,0.283,0.697,130.061,300702
0.504,0.739,9,-7.265,1,0.0316,0.0179,0.08,0.0949,0.417,128.918,248360
0.338,0.407,4,-8.506,1,0.0371,0.0327,0.00246,0.081,0.519,172.612,289813
